---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 250          |
|              SCOTT verified                |
|              time limit = 1000           |
|              m ≤ s*s                       |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
  59    |  10    |   FC                            GAP          |  =     51/110   | runtime:  0.05
  61    |  10    |   FC                            GAP          |  =     61/130   | runtime:  0.04
  63    |  10    |   FC                            GAP          |  =     19/40    | runtime:  0.03
  67    |  10    |   FC                            GAP          |  =     67/140   | runtime:  0.03
  69    |  10    |   FC                            GAP          |  =     61/130   | runtime:  0.08
  71    |  10    |   FC                            GAP          |  =     71/150   | runtime:  0.07
  73    |  10    |   FC                            GAP          |  =     67/140   | runtime:  0.07
  77    |  10    |   FC                            GAP          |  =     77/160   | runtime:  0.06
  79    |  10    |   FC                            GAP          |  =     71/150   | runtime:  0.12
  81    |  10    |   FC                            GAP          |  =     81/170   | runtime:  0.06
  83    |  10    |   FC                            GAP          |  =     77/160   | runtime:  0.10
  87    |  10    |   FC                            GAP          |  =     29/60    | runtime:  0.05
  89    |  10    |   FC                            GAP          |  =     81/170   | runtime:  0.09
  91    |  10    |   FC                            GAP          |  =     91/190   | runtime:  0.07
  93    |  10    |   FC                            GAP          |  =     29/60    | runtime:  0.11
  97    |  10    |   FC                            GAP          |  =     97/200   | runtime:  0.05
  99    |  10    |   FC                            GAP          |  =     91/190   | runtime:  0.14
  12    |  11    |   FC  INT                  MID  GAP          |  =      4/11    | runtime:  0.03
  13    |  11    |            HALF  EBM            GAP          |  =      1/3     | runtime:  0.01
  14    |  11    |   FC  INT        EBM  HBM  MID  GAP          |  =      4/11    | runtime:  0.02
  15    |  11    |                                 GAP          |  ≤      7/22    | runtime:  0.02
  16    |  11    |                                 GAP          |  ≤      3/11    | runtime:  0.02
  17    |  11    |   FC                            GAP          |  =     17/44    | runtime:  0.02
  18    |  11    |   FC  INT                  MID  GAP  TRAIN   |  =      9/22    | runtime:  0.03
  19    |  11    |       INT  HALF            MID  GAP          |  =      9/22    | runtime:  0.02
  20    |  11    |   FC                            GAP          |  =     13/33    | runtime:  0.01
  21    |  11    |   FC                            GAP          |  =      4/11    | runtime:  0.02
  23    |  11    |   FC                            GAP          |  =     23/55    | runtime:  0.02
  24    |  11    |       INT                  MID  GAP          |  =     19/44    | runtime:  0.02
  25    |  11    |   FC  INT                  MID  GAP          |  =     19/44    | runtime:  0.03
  26    |  11    |   FC                            GAP          |  =      9/22    | runtime:  0.02
  27    |  11    |   FC                            GAP          |  =     17/44    | runtime:  0.02
  28    |  11    |   FC                            GAP          |  =     14/33    | runtime:  0.04
  29    |  11    |   FC                            GAP          |  =     29/66    | runtime:  0.02
  30    |  11    |   FC                                         |  =      5/11    | runtime:  0.02
  31    |  11    |   FC                            GAP          |  =     24/55    | runtime:  0.02
  32    |  11    |   FC                            GAP          |  =     23/55    | runtime:  0.02
  34    |  11    |   FC                            GAP          |  =     34/77    | runtime:  0.02
  35    |  11    |   FC                            GAP          |  =      5/11    | runtime:  0.01
  36    |  11    |   FC                            GAP          |  =      5/11    | runtime:  0.01
  37    |  11    |   FC                            GAP          |  =     29/66    | runtime:  0.03
  38    |  11    |   FC                            GAP          |  =     14/33    | runtime:  0.03
  39    |  11    |   FC                            GAP          |  =     39/88    | runtime:  0.04
  40    |  11    |   FC                            GAP          |  =      5/11    | runtime:  0.02
  41    |  11    |       INT  HALF            MID  GAP          |  =     61/132   | runtime:  0.02
  42    |  11    |   FC                            GAP          |  =      5/11    | runtime:  0.02
  43    |  11    |   FC                            GAP          |  =     34/77    | runtime:  0.03
  45    |  11    |   FC                            GAP          |  =      5/11    | runtime:  0.04
  46    |  11    |   FC                            GAP          |  =     46/99    | runtime:  0.02
  47    |  11    |   FC                            GAP          |  =     41/88    | runtime:  0.02
  48    |  11    |   FC                            GAP          |  =      5/11    | runtime:  0.03
  49    |  11    |   FC                            GAP          |  =     39/88    | runtime:  0.04
  50    |  11    |   FC                            GAP          |  =      5/11    | runtime:  0.04
  51    |  11    |   FC                            GAP          |  =     51/110   | runtime:  0.03
  52    |  11    |       INT  HALF            MID  GAP          |  =     83/176   | runtime:  0.02
  53    |  11    |   FC                            GAP          |  =     46/99    | runtime:  0.02
  54    |  11    |   FC                            GAP          |  =      5/11    | runtime:  0.05
  56    |  11    |   FC                            GAP          |  =     56/121   | runtime:  0.04
  57    |  11    |   FC                            GAP          |  =     57/121   | runtime:  0.03
  58    |  11    |   FC                            GAP          |  =     26/55    | runtime:  0.03
  59    |  11    |   FC                            GAP          |  =     51/110   | runtime:  0.04
  60    |  11    |   FC                            GAP          |  =      5/11    | runtime:  0.05
  61    |  11    |   FC                            GAP          |  =     61/132   | runtime:  0.05
  62    |  11    |   FC                            GAP          |  =     31/66    | runtime:  0.04
  63    |  11    |   FC  INT  HALF                 GAP          |  =     21/44    | runtime:  0.03
  64    |  11    |   FC                            GAP          |  =     57/121   | runtime:  0.04
  65    |  11    |   FC                            GAP          |  =     56/121   | runtime:  0.05
  67    |  11    |   FC                            GAP          |  =     67/143   | runtime:  0.05
  68    |  11    |   FC                            GAP          |  =     68/143   | runtime:  0.04
  69    |  11    |   FC                            GAP          |  =     21/44    | runtime:  0.03
  70    |  11    |   FC                            GAP          |  =     31/66    | runtime:  0.06
  71    |  11    |   FC                            GAP          |  =     61/132   | runtime:  0.05
  72    |  11    |   FC                            GAP          |  =     36/77    | runtime:  0.05
  73    |  11    |   FC                            GAP          |  =     73/154   | runtime:  0.06
  74    |  11    |   FC  INT                  MID  GAP  TRAIN   |  =     37/77    | runtime:  0.02
  75    |  11    |   FC                            GAP          |  =     68/143   | runtime:  0.05
  76    |  11    |   FC                            GAP          |  =     67/143   | runtime:  0.09
  78    |  11    |   FC                            GAP          |  =     26/55    | runtime:  0.06
  79    |  11    |   FC                            GAP          |  =     79/165   | runtime:  0.06
  80    |  11    |   FC                            GAP          |  =     37/77    | runtime:  0.04
  81    |  11    |   FC                            GAP          |  =     73/154   | runtime:  0.10
  82    |  11    |   FC                            GAP          |  =     36/77    | runtime:  0.08
  83    |  11    |   FC                            GAP          |  =     83/176   | runtime:  0.07
  84    |  11    |   FC                            GAP          |  =     21/44    | runtime:  0.06
  85    |  11    |   FC  INT                  MID  GAP  TRAIN   |  =     85/176   | runtime:  0.04
  86    |  11    |   FC                            GAP          |  =     79/165   | runtime:  0.06
  87    |  11    |   FC                            GAP          |  =     26/55    | runtime:  0.07
  89    |  11    |   FC                            GAP          |  =     89/187   | runtime:  0.10
  90    |  11    |   FC                            GAP          |  =     90/187   | runtime:  0.05
  91    |  11    |   FC                            GAP          |  =     85/176   | runtime:  0.04
  92    |  11    |   FC                            GAP          |  =     21/44    | runtime:  0.14
  93    |  11    |   FC                            GAP          |  =     83/176   | runtime:  0.07
  94    |  11    |   FC                            GAP          |  =     47/99    | runtime:  0.07
  95    |  11    |   FC                            GAP          |  =     95/198   | runtime:  0.07
  96    |  11    |   FC                            GAP          |  =     16/33    | runtime:  0.02
  97    |  11    |   FC                            GAP          |  =     90/187   | runtime:  0.07
  98    |  11    |   FC                            GAP          |  =     89/187   | runtime:  0.13
  100   |  11    |   FC                            GAP          |  =    100/209   | runtime:  0.07
  101   |  11    |   FC                            GAP          |  =    101/209   | runtime:  0.07
  102   |  11    |   FC                            GAP          |  =     16/33    | runtime:  0.08
  103   |  11    |   FC                            GAP          |  =     95/198   | runtime:  0.14
  104   |  11    |   FC                            GAP          |  =     47/99    | runtime:  0.13
