---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 110          |
|               PROC verified                |
|              time limit = 660            |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
  54    |  5     |   FC                                         |  =     17/35    |   0.12 
  56    |  5     |   FC                                         |  =     56/115   |   0.08 
  57    |  5     |   FC                                         |  =     53/110   |   0.11 
  58    |  5     |   FC                                         |  =     29/60    |   0.06 
  59    |  5     |   FC                                         |  =     56/115   |   0.12 
  61    |  5     |   FC                                         |  =     61/125   |   0.06 
  62    |  5     |   FC                                         |  =     29/60    |   0.16 
  63    |  5     |   FC                                         |  =     63/130   |   0.06 
  64    |  5     |   FC                                         |  =     61/125   |   0.12 
  66    |  5     |   FC                                         |  =     22/45    |   0.03 
  67    |  5     |   FC                                         |  =     63/130   |   0.20 
  68    |  5     |   FC                                         |  =     17/35    |   0.12 
  69    |  5     |   FC                                         |  =     22/45    |   0.16 
  71    |  5     |   FC                                         |  =     71/145   |   0.05 
  72    |  5     |   FC                                         |  =     17/35    |   0.20 
  73    |  5     |   FC                                         |  =     73/150   |   0.08 
  74    |  5     |   FC                                         |  =     71/145   |   0.16 
  76    |  5     |   FC                                         |  =     76/155   |   0.09 
  77    |  5     |   FC                                         |  =     73/150   |   0.15 
  78    |  5     |   FC                                         |  =     39/80    |   0.09 
  79    |  5     |   FC                                         |  =     76/155   |   0.13 
  81    |  5     |   FC                                         |  =     27/55    |   0.08 
  82    |  5     |   FC                                         |  =     39/80    |   0.15 
  83    |  5     |   FC                                         |  =     83/170   |   0.10 
  84    |  5     |   FC                                         |  =     27/55    |   0.10 
  86    |  5     |   FC                                         |  =     86/175   |   0.09 
  87    |  5     |   FC                                         |  =     83/170   |   0.22 
  88    |  5     |   FC                                         |  =     22/45    |   0.15 
  89    |  5     |   FC                                         |  =     86/175   |   0.14 
  91    |  5     |   FC                                         |  =     91/185   |   0.07 
  92    |  5     |   FC                                         |  =     22/45    |   0.25 
  93    |  5     |   FC                                         |  =     93/190   |   0.17 
  94    |  5     |   FC                                         |  =     91/185   |   0.18 
  96    |  5     |   FC                                         |  =     32/65    |   0.05 
  97    |  5     |   FC                                         |  =     93/190   |   0.30 
  98    |  5     |   FC                                         |  =     49/100   |   0.12 
  99    |  5     |   FC                                         |  =     32/65    |   0.16 
  101   |  5     |   FC                                         |  =    101/205   |   0.10 
  102   |  5     |   FC                                         |  =     49/100   |   0.23 
  103   |  5     |   FC                                         |  =    103/210   |   0.15 
  104   |  5     |   FC                                         |  =    101/205   |   0.20 
  106   |  5     |   FC                                         |  =    106/215   |   0.20 
  107   |  5     |   FC                                         |  =    103/210   |   0.23 
  108   |  5     |   FC                                         |  =     27/55    |   0.20 
  109   |  5     |   FC                                         |  =    106/215   |   0.20 
  7     |  6     |       INT  HALF  EBM                         |  =      1/3     |   0.00 
  11    |  6     |   FC                                         |  =      7/18    |   0.04 
  13    |  6     |   FC  INT                  MID  GAP  TRAIN   |  =     13/30    |   0.01 
  17    |  6     |   FC                                         |  =     13/30    |   0.05 
  19    |  6     |   FC                                         |  =     19/42    |   0.01 
  23    |  6     |   FC                                         |  =     19/42    |   0.05 
  25    |  6     |   FC                                         |  =     25/54    |   0.01 
  29    |  6     |   FC                                         |  =     25/54    |   0.02 
  31    |  6     |   FC                                         |  =     31/66    |   0.03 
  35    |  6     |   FC                                         |  =     31/66    |   0.06 
  37    |  6     |   FC                                         |  =     37/78    |   0.02 
  41    |  6     |   FC                                         |  =     37/78    |   0.06 
  43    |  6     |   FC                                         |  =     43/90    |   0.03 
  47    |  6     |   FC                                         |  =     43/90    |   0.10 
  49    |  6     |   FC                                         |  =     49/102   |   0.03 
  53    |  6     |   FC                                         |  =     49/102   |   0.07 
  55    |  6     |   FC                                         |  =     55/114   |   0.04 
  59    |  6     |   FC                                         |  =     55/114   |   0.12 
  61    |  6     |   FC                                         |  =     61/126   |   0.05 
  65    |  6     |   FC                                         |  =     61/126   |   0.04 
  67    |  6     |   FC                                         |  =     67/138   |   0.05 
  71    |  6     |   FC                                         |  =     67/138   |   0.11 
  73    |  6     |   FC                                         |  =     73/150   |   0.06 
  77    |  6     |   FC                                         |  =     73/150   |   0.12 
  79    |  6     |   FC                                         |  =     79/162   |   0.07 
  83    |  6     |   FC                                         |  =     79/162   |   0.10 
  85    |  6     |   FC                                         |  =     85/174   |   0.09 
  89    |  6     |   FC                                         |  =     85/174   |   0.08 
  91    |  6     |   FC                                         |  =     91/186   |   0.08 
  95    |  6     |   FC                                         |  =     91/186   |   0.18 
  97    |  6     |   FC                                         |  =     97/198   |   0.09 
