   m    |   s    |                   Method(s)                  |        α        |       runtime   
  97    |  7     |   FC                                         |  =     92/189   |  multi: 0.00  -  solv: 0.00  - runtime:  0.12 
  99    |  7     |   FC                                         |  =     99/203   |  multi: 0.00  -  solv: 0.00  - runtime:  0.06 
  100   |  7     |   FC                                         |  =     24/49    |  multi: 0.00  -  solv: 0.00  - runtime:  0.08 
  101   |  7     |   FC                                         |  =     95/196   |  multi: 0.00  -  solv: 0.00  - runtime:  0.14 
  102   |  7     |   FC                                         |  =     17/35    |  multi: 0.00  -  solv: 0.00  - runtime:  0.10 
  103   |  7     |   FC                                         |  =    103/210   |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  104   |  7     |   FC                                         |  =     99/203   |  multi: 0.00  -  solv: 0.00  - runtime:  0.13 
  106   |  7     |   FC                                         |  =    106/217   |  multi: 0.00  -  solv: 0.00  - runtime:  0.10 
  107   |  7     |   FC                                         |  =    103/210   |  multi: 0.00  -  solv: 0.00  - runtime:  0.06 
  108   |  7     |   FC                                         |  =     17/35    |  multi: 0.00  -  solv: 0.00  - runtime:  0.21 
  109   |  7     |   FC                                         |  =    109/224   |  multi: 0.00  -  solv: 0.00  - runtime:  0.16 
  110   |  7     |   FC                                         |  =     55/112   |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  9     |  8     |   FC  INT  HALF            MID               |  =      3/8     |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  11    |  8     |   FC             EBM                         |  =      1/3     |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  13    |  8     |   FC  INT                  MID               |  =     13/32    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  15    |  8     |   FC                                         |  =      3/8     |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  17    |  8     |   FC                                         |  =     17/40    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  19    |  8     |   FC                                         |  =     13/32    |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  21    |  8     |   FC                                         |  =      7/16    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  23    |  8     |   FC                                         |  =     17/40    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
