
   m    |   s    |                   Method(s)                  |        α        |       runtime
  31    |  7     |   FC                            GAP          |  =     25/56    | 0.03 sec
  32    |  7     |   FC                            GAP          |  =     16/35    | 0.02 sec
  33    |  7     |   FC  INT                  MID  GAP  TRAIN   |  =     33/70    | 0.02 sec
  34    |  7     |   FC                            GAP          |  =     29/63    | 0.09 sec
  36    |  7     |   FC                            GAP          |  =     36/77    | 0.02 sec
  37    |  7     |   FC                            GAP          |  =     33/70    | 0.10 sec
  38    |  7     |   FC                            GAP          |  =     16/35    | 0.03 sec
  39    |  7     |   FC                            GAP          |  =     13/28    | 0.03 sec
  40    |  7     |   FC                            GAP          |  =     10/21    | 0.02 sec
  41    |  7     |   FC                            GAP          |  =     36/77    | 0.02 sec
  43    |  7     |   FC                            GAP          |  =     43/91    | 0.04 sec
  44    |  7     |   FC                            GAP          |  =     10/21    | 0.02 sec
  45    |  7     |   FC                            GAP          |  =     13/28    | 0.08 sec
  46    |  7     |   FC                            GAP          |  =     23/49    | 0.05 sec
  47    |  7     |   FC                            GAP          |  =     47/98    | 0.01 sec
  48    |  7     |   FC                            GAP          |  =     43/91    | 0.06 sec
  50    |  7     |   FC                            GAP          |  =     10/21    | 0.06 sec
  51    |  7     |   FC                            GAP          |  =     47/98    | 0.03 sec
  52    |  7     |   FC                            GAP          |  =     23/49    | 0.05 sec
  53    |  7     |   FC                            GAP          |  =     53/112   | 0.03 sec
  54    |  7     |   FC                            GAP          |  =     27/56    | 0.02 sec
  55    |  7     |   FC                            GAP          |  =     10/21    | 0.11 sec
  57    |  7     |   FC                            GAP          |  =     57/119   | 0.05 sec
  58    |  7     |   FC                            GAP          |  =     27/56    | 0.06 sec
  59    |  7     |   FC                            GAP          |  =     53/112   | 0.06 sec
  60    |  7     |   FC                            GAP          |  =     10/21    | 0.11 sec
  61    |  7     |   FC                            GAP          |  =     61/126   | 0.01 sec
  62    |  7     |   FC                            GAP          |  =     57/119   | 0.06 sec
  64    |  7     |   FC                            GAP          |  =     64/133   | 0.11 sec
  65    |  7     |   FC                            GAP          |  =     61/126   | 0.05 sec
  66    |  7     |   FC                            GAP          |  =     10/21    | 0.09 sec
  67    |  7     |   FC                            GAP          |  =     67/140   | 0.06 sec
  68    |  7     |   FC                            GAP          |  =     17/35    | 0.02 sec
  69    |  7     |   FC                            GAP          |  =     64/133   | 0.13 sec
  71    |  7     |   FC                            GAP          |  =     71/147   | 0.08 sec
  72    |  7     |   FC                            GAP          |  =     17/35    | 0.08 sec
  73    |  7     |   FC                            GAP          |  =     67/140   | 0.22 sec
  74    |  7     |   FC                            GAP          |  =     37/77    | 0.05 sec
  75    |  7     |   FC                            GAP          |  =     75/154   | 0.05 sec
  76    |  7     |   FC                            GAP          |  =     71/147   | 0.09 sec
  78    |  7     |   FC                            GAP          |  =     78/161   | 0.06 sec
  79    |  7     |   FC                            GAP          |  =     75/154   | 0.09 sec
  80    |  7     |   FC                            GAP          |  =     37/77    | 0.14 sec
  81    |  7     |   FC                            GAP          |  =     27/56    | 0.09 sec
  82    |  7     |   FC                            GAP          |  =     41/84    | 0.05 sec
  83    |  7     |   FC                            GAP          |  =     78/161   | 0.13 sec
  85    |  7     |   FC                            GAP          |  =     17/35    | 0.09 sec
  86    |  7     |   FC                            GAP          |  =     41/84    | 0.08 sec
  87    |  7     |   FC                            GAP          |  =     27/56    | 0.16 sec
  88    |  7     |   FC                            GAP          |  =     44/91    | 0.09 sec
  89    |  7     |   FC                            GAP          |  =     89/182   | 0.07 sec
  90    |  7     |   FC                            GAP          |  =     17/35    | 0.14 sec
  92    |  7     |   FC                            GAP          |  =     92/189   | 0.08 sec
  93    |  7     |   FC                            GAP          |  =     89/182   | 0.14 sec
  94    |  7     |   FC                            GAP          |  =     44/91    | 0.23 sec
  95    |  7     |   FC                            GAP          |  =     95/196   | 0.11 sec
  96    |  7     |   FC                            GAP          |  =     24/49    | 0.05 sec
  97    |  7     |   FC                            GAP          |  =     92/189   | 0.16 sec
  99    |  7     |   FC                            GAP          |  =     99/203   | 0.09 sec
  100   |  7     |   FC                            GAP          |  =     24/49    | 0.14 sec
  101   |  7     |   FC                            GAP          |  =     95/196   | 0.27 sec
  102   |  7     |   FC                            GAP          |  =     17/35    | 0.11 sec
  103   |  7     |   FC                            GAP          |  =    103/210   | 0.06 sec
  104   |  7     |   FC                            GAP          |  =     99/203   | 0.22 sec
  106   |  7     |   FC                            GAP          |  =    106/217   | 0.14 sec
  107   |  7     |   FC                            GAP          |  =    103/210   | 0.14 sec
  108   |  7     |   FC                            GAP          |  =     17/35    | 0.39 sec
  109   |  7     |   FC                            GAP          |  =    109/224   | 0.20 sec
  110   |  7     |   FC                            GAP          |  =     55/112   | 0.08 sec
  9     |  8     |   FC  INT  HALF                 GAP          |  =      3/8     | 0.02 sec
  11    |  8     |   FC             EBM            GAP          |  =      1/3     | 0.00 sec
  13    |  8     |   FC  INT                  MID  GAP  TRAIN   |  =     13/32    | 0.02 sec
  15    |  8     |   FC                            GAP          |  =      3/8     | 0.02 sec
  17    |  8     |   FC                            GAP          |  =     17/40    | 0.02 sec
  19    |  8     |   FC                            GAP          |  =     13/32    | 0.01 sec
  21    |  8     |   FC                            GAP          |  =      7/16    | 0.02 sec
  23    |  8     |   FC                            GAP          |  =     17/40    | 0.02 sec
  25    |  8     |   FC                            GAP          |  =     25/56    | 0.01 sec
  27    |  8     |   FC                            GAP          |  =      7/16    | 0.02 sec
  29    |  8     |   FC                            GAP          |  =     29/64    | 0.02 sec
  31    |  8     |   FC                            GAP          |  =     25/56    | 0.02 sec
  33    |  8     |   FC                            GAP          |  =     11/24    | 0.03 sec
  35    |  8     |   FC                            GAP          |  =     29/64    | 0.03 sec
  37    |  8     |   FC                            GAP          |  =     37/80    | 0.03 sec
  39    |  8     |   FC                            GAP          |  =     11/24    | 0.03 sec
  41    |  8     |   FC                            GAP          |  =     41/88    | 0.03 sec
  43    |  8     |   FC                            GAP          |  =     37/80    | 0.03 sec
  45    |  8     |   FC                            GAP          |  =     15/32    | 0.03 sec
  47    |  8     |   FC                            GAP          |  =     41/88    | 0.05 sec
  49    |  8     |   FC                            GAP          |  =     49/104   | 0.03 sec
  51    |  8     |   FC                            GAP          |  =     15/32    | 0.03 sec
  53    |  8     |   FC                            GAP          |  =     53/112   | 0.03 sec
  55    |  8     |   FC                            GAP          |  =     49/104   | 0.06 sec
  57    |  8     |   FC                            GAP          |  =     19/40    | 0.03 sec
  59    |  8     |   FC                            GAP          |  =     53/112   | 0.06 sec
  61    |  8     |   FC                            GAP          |  =     61/128   | 0.03 sec
  63    |  8     |   FC                            GAP          |  =     19/40    | 0.08 sec
  65    |  8     |   FC                            GAP          |  =     65/136   | 0.05 sec
  67    |  8     |   FC                            GAP          |  =     61/128   | 0.05 sec
  69    |  8     |   FC                            GAP          |  =     23/48    | 0.04 sec
  71    |  8     |   FC                            GAP          |  =     65/136   | 0.08 sec
  73    |  8     |   FC                            GAP          |  =     73/152   | 0.05 sec
  75    |  8     |   FC                            GAP          |  =     23/48    | 0.09 sec
  77    |  8     |   FC                            GAP          |  =     77/160   | 0.05 sec
  79    |  8     |   FC                            GAP          |  =     73/152   | 0.09 sec
  81    |  8     |   FC                            GAP          |  =     27/56    | 0.09 sec
  83    |  8     |   FC                            GAP          |  =     77/160   | 0.08 sec
  85    |  8     |   FC                            GAP          |  =     85/176   | 0.06 sec
  87    |  8     |   FC                            GAP          |  =     27/56    | 0.14 sec
  89    |  8     |   FC                            GAP          |  =     89/184   | 0.08 sec
  91    |  8     |   FC                            GAP          |  =     85/176   | 0.09 sec
  93    |  8     |   FC                            GAP          |  =     31/64    | 0.07 sec
  95    |  8     |   FC                            GAP          |  =     89/184   | 0.14 sec
